


Network Metrics for year 2010

Film                   Btwns Cntr    Degree    Clstr Coef.
samuel goldwyns                             0         0             29
directv                                     0         1             17
broad green                                 0         0             30
cinema guild                                0         0             31
cj                                          0         0             32
arcade                                      0         0             33
funimations                                 0         0             34
china lion                                  0         0             35
pantelions                                  0         0             36
alchemy                                     0         0             37
film movement                               0         0             38
icaruss                                     0         0             39
tribeca                                     0         0             40
distribs                                    0         0             41
oscilloscope                                0         0             42
roadside attraction                         0         0             43
gkids                                       0         0             44
purdie                                      0         0             45
image                                       0         1             46
utv                                         0         0             47
vitagraphs                                  0         0             48
archstone                                   0         0             49
film arcade                                 0         0             50
yash rajs                                   0         0             51
magnet                                      0         1              5
pure flix                                   0         0             52
pixar                                       0         1              9
dreamworks                                  0         0             53
screens                                     0         0             54
rlj                                         0         1             46
filmbuff                                    0         0             55
bleecker street                             0         0             56
studiocanal                                 0         0             57
relativity                                  0         0             58
cg cin ma                                   0         0             59
freedom from fistula foundation             0         0             60
wellgo                                      0         0             61
mister listers                              0         0             62
truth aid                                   0         0             63
marvel                                      0         1              9
gvn                                         0         0             64
mantaray ab                                 0         0             65
klein lewis                                 0         0             66
colour yellow                               0         0             67
alchemys                                    0         0             68
emmett                                      0         1             69
wildgazes                                   0         0             70
ciesla foundation                           0         0             71
vladarpany                                  0         0             72
aascars                                     0         0             73
filmlaborative                              0         0             74
internationakl circuit                      0         0             75
ncm fathom                                  0         0             76
backup                                      0         0             77
argot                                       0         0             78
red chillies                                0         0             79
idyllic                                     0         0             80
element                                     0         0             81
submarine                                   0         0             82
dakota                                      0         0             83
cook box                                    0         0             84
groundswell                                 0         0             85
gathrs                                      0         0             86
m tree                                      0         0             87
big                                         0         0             88
occupant                                    0         0             89
aviron                                      0         0             90
unstuck                                     0         0             91
easy open                                   0         0             92
phantoms                                    0         0             93
slbs                                        0         0             94
disarmings                                  0         0             95
bleecker streets                            0         0             96
imovision                                   0         0             97
rhombus                                     0         0             98
sundance selects                            0         0             99
neue road movies                            0         0            100
embargos                                    0         0            101
filmrise                                    0         0            102
hanover multimedia                          0         0            103
starz digital                               0         0            104
strasson                                    0         0            105
panorama                                    0         0            106
entertainment ones                          0         0            107
amour fou vienna                            0         0            108
claussen w bke putzproduction               0         0            109
dark frames                                 0         0            110
varient                                     0         0            111
participant                                 0         0            112
cinelous                                    0         0            113
film movements                              0         0            114
americanpany                                0         0            115
firelights                                  0         0            116
forks                                       0         0            117
januss                                      0         0            118
delirios                                    0         0            119
arka works                                  0         0            120
pacific northwest                           0         0            121
stx                                         0         0            122
bbcwides                                    0         0            123
arte                                        0         0            124
working titles                              0         0            125
romance                                     0         0            126
holt hamilton                               0         0            127
eclectic                                    0         0            128
komplizen                                   0         0            129
abramorama                                  0         0            130
broken road                                 0         0            131
elevent arts                                0         0            132
noor                                        0         0            133
canal streetmunications                     0         0            134
yong                                        0         0            135
imagine                                     0         0            136
centralporation                             0         0            137
atlaspany                                   0         0            138
honora                                      0         0            139
starburns industries                        0         0            140
life without limits                         0         0            141
first pond                                  0         0            142
alters                                      0         0            143
cinema libre                                0         0            144
junglee                                     0         0            145
adopts                                      0         0            146
furlas                                      0         1             69
execution style                             0         0            147
china lions                                 0         0            148
bloodvine                                   0         0            149
columbia                                    0         0            150
netflix                                     0         0            151
epic                                        0         0            152
excel                                       0         0            153
paladin                                     0         0            154
cohen llc                                   0         0            155
